Was wir von Japan lernen können [premium];https://www.diepresse.com/5715875/Automarkt_Was-wir-von-Japan-lernen-koennen?from=rss;Inmitten des europäischen (und österreichischen) SUV-Booms nach US-Vorbild lohnt sich ein Blick ins Autoland Japan. Dort hat die Gesellschaft mit ihrem Fuhrpark ein vielleicht besseres Arrangement getroffen  mit traditionell kleinen, leichten, leisen und sparsamen Autos.;2019-11-06T11:07:00;LIFESTYLE
Rainer Will: Datenhoheit muss Menschenrecht sein [premium];https://www.diepresse.com/5718905/Digitalisierung_Rainer-Will_Datenhoheit-muss-Menschenrecht-sein?from=rss;Rainer Will ist Chef des Handelsverbands. Die Digitalisierung sei nicht immer ein Segen, sagt er und kritisiert die steuerliche Besserstellung der Tech-Giganten. Für Europa fordert er einen New Digital Deal.;2019-11-10T08:13:00;ECONOMY
Seit 2001 gesamte Ackerfläche des Burgenlands verbaut;https://www.diepresse.com/5718846/Bodenverbrauch_Seit-2001-gesamte-Ackerflaeche-des-Burgenlands-verbaut?from=rss;Die Statistik Austria hat die Flächeninanspruchnahme in unserem Land untersucht. Deren kontinuierlicher Anstieg wird unsere Umwelt vor große Probleme stellen, lautet das Fazit.;2019-11-08T11:00:00;ECONOMY
Aufsichtsratsjob von Ex-Voest-Chef Eder vor Gericht  angefochten;https://www.diepresse.com/5718884/Eders-Aufsichtsjob-vor-Landesgericht-Linz-angefochten?from=rss;Ein Aktionärsvertreter reichte im Sommer Klage beim Landesgericht Linz ein. Laut dem Konzern sei die Wahl rechtmäßig erfolgt.;2019-11-08T11:48:00;ECONOMY
Hans Niessl ist neuer BSO-Präsident   ;https://www.diepresse.com/5718998/HundstorferNachfolge_Hans-Niessl-ist-neuer-BSOPraesident?from=rss;Burgenlands ehemaliger Landeshauptmann wurde zum Präsidenten der Bundessportorganisation gewählt.;2019-11-08T14:05:00;SPORTS
Apple startet offiziell seinen Streamingdienst TV+;https://www.diepresse.com/5715501/Apple-startet-offiziell-seinen-Streamingdienst-TV?from=rss;US-Konzern will Platzhirschen Netflix und Amazon Konkurrenz machen. In ersten Tests schneidet der Streaming-Neuling schlecht ab.;2019-11-01T15:02:00;TECH
Königliches Wunderkind;https://www.diepresse.com/5718531/Champions-League_Koenigliches-Wunderkind?from=rss;Nur Raúl war jünger: Der 18-jährige Rodrygo ist der Mann der Stunde bei Real Madrid, im Bernabéu verewigt sich der Brasilianer gleich mehrfach in den Geschichtsbüchern.;2019-11-07T17:37:00;SPORTS
ÖFB-Frauen gewinnen in Nordmazedonien;https://www.diepresse.com/5719261/EMQualifikation_OeFBFrauen-gewinnen-in-Nordmazedonien?from=rss;Österreich glänzte nicht unbedingt, siegte aber 3:0 und kann nach drei Spielen eine makellose Bilanz vorweisen.;2019-11-08T18:56:00;SPORTS
Kommt jetzt das Ende des Rückspiegels?;https://www.diepresse.com/5704078/Kommt-jetzt-das-Ende-des-Rueckspiegels?from=rss;Kameras sollen Verbrauch senken US-Behörde prüft.;2019-10-10T16:15:00;LIFESTYLE
Bekannte Gesichter, neue Ministerien [premium];https://www.diepresse.com/5719569/OeVP_Bekannte-Gesichter-neue-Ministerien?from=rss;Die ÖVP kann (großteils) auf ein bewährtes Regierungsteam setzen. Die Frage ist nun, welche Zuständigkeiten zum Personal passen.;2019-11-10T08:06:00;POLITICS
Österreich hinkt meilenweit hinter E-Auto-Zielen her;https://www.diepresse.com/5718690/Oesterreich-hinkt-meilenweit-hinter-EAutoZielen-her?from=rss;Um die CO2-Ziele zu erreichen, müssten jährlich 160.000 E-Autos zugelassen werden. Die um 60 Prozent höheren Materialkosten seien eine Hürde für die E-Mobilität, sagt Berater A.T. Kearney.;2019-11-08T07:11:00;ECONOMY
Mauerfall-Gedenken in Berlin: Merkel mahnt zum Einsatz für Freiheit;https://www.diepresse.com/5719490/30-Jahrestag_MauerfallGedenken-in-Berlin_Merkel-mahnt-zum-Einsatz?from=rss;Die Spitzen des deutschen Staates gedachten am Samstag in Berlin bei der zentralen Feier auf dem früheren Todesstreifen an der Bernauer Straße des Falls der Mauer vor genau 30 Jahren.;2019-11-09T14:19:00;POLITICS
